"Strain","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","r_min","r_max","r_mean","c_min","c_max","c_mean","i_min","mean_int","i_max","mean_response","Complexity","id","significant","null_model"
"100",1,0,1,0,1,0,0,0,44.4086345775599,46.6532644344929,45.4630213989217,43.7782294095084,49.6210236351498,46.7768492049913,0.751156974139172,1.01659375587449,1.35130546855364,0.971912862272702,3,"135",FALSE,4
"100",1,0,1,0,0,1,0,0,47.1746951270942,48.2358854129328,47.5629975343096,43.7782294095084,49.6210236351498,46.7768492049913,0.776044644123988,1.00896833525266,1.29714130516298,1.01680635491016,3,"136",FALSE,4
"100",1,0,1,0,0,0,1,0,42.6556860095693,46.6281786857462,44.9283505186996,43.7782294095084,49.6210236351498,46.7768492049913,0.776677467156399,1.05168254315747,1.39122428686483,0.960482616556943,3,"137",FALSE,4
"100",1,0,1,0,0,0,0,1,44.0821224067259,47.4557857078851,46.330637656826,43.7782294095084,49.6210236351498,46.7768492049913,0.73974859834738,1.04205619567007,1.42156158427085,0.990460846428329,3,"138",FALSE,4
"100",1,0,0,1,1,0,0,0,44.6622891678177,48.2529032581492,46.4501438305472,43.7782294095084,49.6210236351498,46.7768492049913,0.750277744347524,1.02964764181444,1.38264740953374,0.993015660952016,3,"145",FALSE,4
"100",1,0,0,1,0,1,0,0,48.0021839359589,50.3652850050881,49.0810212840252,43.7782294095084,49.6210236351498,46.7768492049913,0.807432229972776,1.06012661094858,1.37028096377309,1.04925881324191,3,"146",FALSE,4
"100",1,0,0,1,0,0,1,0,43.5336364593193,47.4569875783262,45.3866928005854,43.7782294095084,49.6210236351498,46.7768492049913,0.779866558164117,1.05114933339193,1.38846920293066,0.970281102125673,3,"147",FALSE,4
"100",1,0,0,1,0,0,0,1,44.0871916186105,47.7110309619562,46.4318522214546,43.7782294095084,49.6210236351498,46.7768492049913,0.722753153767645,1.01915216127595,1.40222268887471,0.992624621166236,3,"148",FALSE,4
"100",1,0,0,0,1,1,0,0,43.4434874876385,47.5053753448361,45.3392464209235,43.7782294095084,49.6210236351498,46.7768492049913,0.738634730287643,1.01064306329178,1.34873708146097,0.969266788838903,3,"156",FALSE,4
"100",1,0,0,0,1,0,1,0,41.5432765886864,44.1758258288546,43.3154590819714,43.7782294095084,49.6210236351498,46.7768492049913,0.760061362316685,1.05187876903969,1.43937487295109,0.926002067649939,3,"157",FALSE,4
"100",1,0,0,0,1,0,0,1,47.6863613515778,48.5798153557151,48.1330883536464,43.7782294095084,49.6210236351498,46.7768492049913,0.74546447735487,1.07513507654238,1.50470035995061,1.02899381150517,3,"158",FALSE,4
"100",1,0,0,0,0,1,1,0,44.3531023195726,48.5825796040942,46.2523902980719,43.7782294095084,49.6210236351498,46.7768492049913,0.786517227468985,1.06146379429514,1.40391358382595,0.988788066835775,3,"167",FALSE,4
"100",1,0,0,0,0,1,0,1,45.4724523437791,48.7104881955131,47.4012551859319,43.7782294095084,49.6210236351498,46.7768492049913,0.748123520793748,1.0570180155138,1.46153534664875,1.01334861136551,3,"168",FALSE,4
"100",1,0,0,0,0,0,1,1,43.3137075299921,45.6806566076951,44.5611176764088,43.7782294095084,49.6210236351498,46.7768492049913,0.748951293899654,1.06245039095,1.46684082763587,0.9526318773872,3,"178",FALSE,4
"100",0,1,1,1,0,0,0,0,47.671455495666,49.9569842705232,48.7944403140935,43.7782294095084,49.6210236351498,46.7768492049913,0.82307016106984,1.07179149192405,1.38050276527939,1.0431322575888,3,"234",FALSE,4
"100",0,1,1,0,1,0,0,0,46.0291404651468,48.6977034817378,47.4304696313338,43.7782294095084,49.6210236351498,46.7768492049913,0.788221915166488,1.06850142026442,1.41764150666714,1.01397316060084,3,"235",FALSE,4
"100",0,1,1,0,0,1,0,0,48.4517947149294,51.1450461230683,49.6366163346539,43.7782294095084,49.6210236351498,46.7768492049913,0.814599817866839,1.06135492037354,1.37092801515934,1.06113637789348,3,"236",FALSE,4
"100",0,1,1,0,0,0,1,0,43.801814543827,47.2114410036942,45.5140911376612,43.7782294095084,49.6210236351498,46.7768492049913,0.776328528759278,1.05414320459801,1.39201266848315,0.973004636079778,3,"237",FALSE,4
"100",0,1,1,0,0,0,0,1,45.7934915881503,47.8226751488522,46.7717291688762,43.7782294095084,49.6210236351498,46.7768492049913,0.747952248782563,1.05755205286222,1.45711525806042,0.999890543373439,3,"238",FALSE,4
"100",0,1,0,1,1,0,0,0,45.3132106641104,47.7642507970334,46.4795182664954,43.7782294095084,49.6210236351498,46.7768492049913,0.765372127693292,1.03509362210057,1.37657159624491,0.993643630480691,3,"245",FALSE,4
"100",0,1,0,1,0,1,0,0,47.5223083096687,49.7855101116996,48.6335918652995,43.7782294095084,49.6210236351498,46.7768492049913,0.807348688367189,1.05865244556123,1.36045501255323,1.03969362391578,3,"246",FALSE,4
"100",0,1,0,1,0,0,1,0,43.3855518035049,46.8732973602105,45.5159493981503,43.7782294095084,49.6210236351498,46.7768492049913,0.77344410050444,1.04073139467381,1.37683998201156,0.973044362151984,3,"247",FALSE,4
"100",0,1,0,1,0,0,0,1,45.704491768126,49.7260525701086,47.8294767628433,43.7782294095084,49.6210236351498,46.7768492049913,0.742612687639027,1.05297772305548,1.44695443014983,1.02250317359425,3,"248",FALSE,4
"100",0,1,0,0,1,1,0,0,44.2210758132681,47.3684473555934,46.2796951953217,43.7782294095084,49.6210236351498,46.7768492049913,0.757368032665576,1.02327956935933,1.34788739254872,0.989371793566281,3,"256",FALSE,4
"100",0,1,0,0,1,0,1,0,41.8032925730439,44.188407913001,42.84114933513,43.7782294095084,49.6210236351498,46.7768492049913,0.73659385002183,1.01320188652105,1.36280420617352,0.915862228073255,3,"257",FALSE,4
"100",0,1,0,0,1,0,0,1,47.7299852717439,47.7399886918428,47.7349869817933,43.7782294095084,49.6210236351498,46.7768492049913,0.732252867341889,1.04801691551589,1.46059393055871,1.02048316192917,3,"258",FALSE,4
"100",0,1,0,0,0,1,1,0,43.9296443442051,47.3605476973174,45.6762426049151,43.7782294095084,49.6210236351498,46.7768492049913,0.75711035737676,1.0234952710025,1.35013412927409,0.976471125807278,3,"267",FALSE,4
