"Strain","PlateWell","Mean","SD","n","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity","Strain_nice"
"100","1G6",47.3719570355817,2.03816054539588,3,0,0,0,1,0,0,0,1,2,"IL 100"
"100","1G6",47.3719570355817,2.03816054539588,3,0,0,0,1,0,0,0,1,2,"IL 100"
"100","1G6",47.3719570355817,2.03816054539588,3,0,0,0,1,0,0,0,1,2,"IL 100"
"100","1G7",44.4588667543032,1.29609764478007,3,0,0,0,0,0,0,1,1,2,"IL 100"
"100","1G7",44.4588667543032,1.29609764478007,3,0,0,0,0,0,0,1,1,2,"IL 100"
"100","1G7",44.4588667543032,1.29609764478007,3,0,0,0,0,0,0,1,1,2,"IL 100"
"100","1G8",47.5263998586327,2.63055530127366,3,1,1,0,0,0,0,0,1,3,"IL 100"
"100","1G8",47.5263998586327,2.63055530127366,3,1,1,0,0,0,0,0,1,3,"IL 100"
"100","1G8",47.5263998586327,2.63055530127366,3,1,1,0,0,0,0,0,1,3,"IL 100"
"100","1G9",46.4501438305472,1.95363440242667,4,1,0,0,1,1,0,0,0,3,"IL 100"
"100","1G9",46.4501438305472,1.95363440242667,4,1,0,0,1,1,0,0,0,3,"IL 100"
"100","1G9",46.4501438305472,1.95363440242667,4,1,0,0,1,1,0,0,0,3,"IL 100"
"100","1G9",46.4501438305472,1.95363440242667,4,1,0,0,1,1,0,0,0,3,"IL 100"
"100","2B10",47.8440989197139,1.10463532692721,4,1,0,1,1,0,1,0,0,4,"IL 100"
"100","2B10",47.8440989197139,1.10463532692721,4,1,0,1,1,0,1,0,0,4,"IL 100"
"100","2B10",47.8440989197139,1.10463532692721,4,1,0,1,1,0,1,0,0,4,"IL 100"
"100","2B10",47.8440989197139,1.10463532692721,4,1,0,1,1,0,1,0,0,4,"IL 100"
"100","2B11",45.796083389876,1.77634808019337,4,1,0,1,0,0,1,1,0,4,"IL 100"
"100","2B11",45.796083389876,1.77634808019337,4,1,0,1,0,0,1,1,0,4,"IL 100"
"100","2B11",45.796083389876,1.77634808019337,4,1,0,1,0,0,1,1,0,4,"IL 100"
"100","2B11",45.796083389876,1.77634808019337,4,1,0,1,0,0,1,1,0,4,"IL 100"
"100","2B2",45.5140911376612,1.53611432086833,4,0,1,1,0,0,0,1,0,3,"IL 100"
"100","2B2",45.5140911376612,1.53611432086833,4,0,1,1,0,0,0,1,0,3,"IL 100"
"100","2B2",45.5140911376612,1.53611432086833,4,0,1,1,0,0,0,1,0,3,"IL 100"
"100","2B2",45.5140911376612,1.53611432086833,4,0,1,1,0,0,0,1,0,3,"IL 100"
"100","2B3",46.2796951953217,1.46436981067568,4,0,1,0,0,1,1,0,0,3,"IL 100"
"100","2B3",46.2796951953217,1.46436981067568,4,0,1,0,0,1,1,0,0,3,"IL 100"
"100","2B3",46.2796951953217,1.46436981067568,4,0,1,0,0,1,1,0,0,3,"IL 100"
"100","2B3",46.2796951953217,1.46436981067568,4,0,1,0,0,1,1,0,0,3,"IL 100"
"100","2B4",46.4320604037078,1.26164246832875,4,0,0,1,1,1,0,0,0,3,"IL 100"
"100","2B4",46.4320604037078,1.26164246832875,4,0,0,1,1,1,0,0,0,3,"IL 100"
"100","2B4",46.4320604037078,1.26164246832875,4,0,0,1,1,1,0,0,0,3,"IL 100"
"100","2B4",46.4320604037078,1.26164246832875,4,0,0,1,1,1,0,0,0,3,"IL 100"
"100","2B5",47.6647733949864,0.943940230174017,3,0,0,1,0,1,0,0,1,3,"IL 100"
"100","2B5",47.6647733949864,0.943940230174017,3,0,0,1,0,1,0,0,1,3,"IL 100"
"100","2B5",47.6647733949864,0.943940230174017,3,0,0,1,0,1,0,0,1,3,"IL 100"
"100","2B6",47.6674492431151,1.07989720904286,3,0,0,0,1,1,0,0,1,3,"IL 100"
"100","2B6",47.6674492431151,1.07989720904286,3,0,0,0,1,1,0,0,1,3,"IL 100"
"100","2B6",47.6674492431151,1.07989720904286,3,0,0,0,1,1,0,0,1,3,"IL 100"
"100","2B7",43.8660144756774,0.861872723819036,4,0,0,0,0,1,0,1,1,3,"IL 100"
"100","2B7",43.8660144756774,0.861872723819036,4,0,0,0,0,1,0,1,1,3,"IL 100"
"100","2B7",43.8660144756774,0.861872723819036,4,0,0,0,0,1,0,1,1,3,"IL 100"
"100","2B7",43.8660144756774,0.861872723819036,4,0,0,0,0,1,0,1,1,3,"IL 100"
"100","2B8",48.0706029471547,0.384495207567833,2,1,1,1,0,0,0,0,1,4,"IL 100"
"100","2B8",48.0706029471547,0.384495207567833,2,1,1,1,0,0,0,0,1,4,"IL 100"
"100","2B9",43.8695473678207,0.926751704679354,4,1,1,0,0,1,0,1,0,4,"IL 100"
"100","2B9",43.8695473678207,0.926751704679354,4,1,1,0,0,1,0,1,0,4,"IL 100"
"100","2B9",43.8695473678207,0.926751704679354,4,1,1,0,0,1,0,1,0,4,"IL 100"
"100","2B9",43.8695473678207,0.926751704679354,4,1,1,0,0,1,0,1,0,4,"IL 100"
"100","2C10",45.5250167762742,1.95003547258603,4,1,0,1,1,0,0,1,0,4,"IL 100"
"100","2C10",45.5250167762742,1.95003547258603,4,1,0,1,1,0,0,1,0,4,"IL 100"
"100","2C10",45.5250167762742,1.95003547258603,4,1,0,1,1,0,0,1,0,4,"IL 100"
"100","2C10",45.5250167762742,1.95003547258603,4,1,0,1,1,0,0,1,0,4,"IL 100"
"100","2C11",47.4831813371247,2.14377643043208,3,1,0,1,0,0,1,0,1,4,"IL 100"
"100","2C11",47.4831813371247,2.14377643043208,3,1,0,1,0,0,1,0,1,4,"IL 100"
"100","2C11",47.4831813371247,2.14377643043208,3,1,0,1,0,0,1,0,1,4,"IL 100"
"100","2C2",46.7717291688762,1.12784563728048,4,0,1,1,0,0,0,0,1,3,"IL 100"
"100","2C2",46.7717291688762,1.12784563728048,4,0,1,1,0,0,0,0,1,3,"IL 100"
